      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
  124 ,Husbands and Wives                                                                  ,Allen                              ,1992 ,Weekend - Winter 1993 (Reservoir Doc)                                                                                                   ,1993-01-15 ,No notes
  125 ,Manhattan                                                                           ,Allen                              ,1979 ,Cinematography                                                                                                                          ,1994-01-04 ,No notes
  126 ,Manhattan Murder Mystery                                                            ,Allen                              ,1993 ,Weekend - Winter 1994 (The Age of Doc)                                                                                                  ,1994-01-07 ,No notes
  127 ,What's Up Tiger Lily?                                                               ,Allen                              ,1966 ,Summer 1994                                                                                                                             ,1994-07-13 ,No notes
  128 ,Bullets Over Broadway                                                               ,Allen                              ,1994 ,Weekend - Winter 1995 (The Road to Doc)                                                                                                 ,1995-02-25 ,No notes
  129 ,Crimes and Misdemeanors                                                             ,Allen                              ,1989 ,Summer 1995                                                                                                                             ,1995-07-14 ,No notes
  130 ,Bananas                                                                             ,Allen                              ,1971 ,Eisenstein & Soviet Film Aesthetics                                                                                                     ,1997-03-11 ,Lecture: Yuri Tsivian
  131 ,Everyone Says I Love You                                                            ,Allen                              ,1996 ,Weekend - Spring 1997 (DOC Attacks!)                                                                                                    ,1997-06-07 ,No notes
  132 ,Annie Hall                                                                          ,Allen                              ,1977 ,Nicely Clad                                                                                                                             ,1997-11-06 ,No notes
  133 ,Deconstructing Harry                                                                ,Allen                              ,1997 ,Weekend - Spring 1998 (DOC: Cheap & Out of Control)                                                                                     ,1998-05-02 ,No notes
  134 ,Celebrity                                                                           ,Allen                              ,1998 ,Weekend - Spring 1999 (A Simple Doc)                                                                                                    ,1999-04-10 ,No notes
  135 ,Annie Hall                                                                          ,Allen                              ,1977 ,Maxfest                                                                                                                                 ,2002-05-12 ,No notes
  136 ,Manhattan                                                                           ,Allen                              ,1979 ,70s New York                                                                                                                            ,2004-03-11 ,No notes
  137 ,Zelig                                                                               ,Allen                              ,1983 ,Mockumentary                                                                                                                            ,2004-10-14 ,No notes
  138 ,Sweet and Lowdown                                                                   ,Allen                              ,1999 ,Woody Allen and Those He Loved                                                                                                          ,2005-01-05 ,No notes
  139 ,Manhattan Murder Mystery                                                            ,Allen                              ,1993 ,Woody Allen and Those He Loved                                                                                                          ,2005-01-19 ,No notes
  140 ,Interiors                                                                           ,Allen                              ,1978 ,Woody Allen and Those He Loved                                                                                                          ,2005-02-02 ,No notes
  141 ,Everyone Says I Love You                                                            ,Allen                              ,1996 ,Woody Allen and Those He Loved                                                                                                          ,2005-02-16 ,No notes
  142 ,Stardust Memories                                                                   ,Allen                              ,1980 ,Woody Allen and Those He Loved                                                                                                          ,2005-03-02 ,No notes
  143 ,Match Point                                                                         ,Allen                              ,2005 ,"Weekend - Spring 2006 (Good Night, and Good Doc)"                                                                                      ,2006-05-06 ,No notes
  144 ,Bananas                                                                             ,Allen                              ,1971 ,Antiheroes: Icons of the New Hollywood Era                                                                                              ,2006-11-08 ,No notes
  145 ,New York Stories                                                                    ,"Allen, Coppola, Scorsese"         ,1989 ,Weekend - Autumn 1989 (The Last Temptation of Max)                                                                                      ,1989-11-10 ,No notes
  146 ,Lion King                                                                           ,"Allers, Minkoff"                  ,1994 ,Weekend - Winter 1995 (The Road to Doc)                                                                                                 ,1995-01-28 ,No notes
  147 ,Nobody Listened                                                                     ,"Almendros, Ulla"                  ,   0 ,24th Annual Chicago International Film Festival                                                                                         ,1988-10-27 ,No notes
  148 ,Twister                                                                             ,Almereyda                          ,1990 ,Weekend - Spring 1991 (Dances with Maxes)                                                                                               ,1991-06-07 ,No notes
  149 ,Nadja                                                                               ,Almereyda                          ,1995 ,Weekend - Winter 1996 (The Doc Generation)                                                                                              ,1996-01-26 ,No notes
  150 ,Hamlet                                                                              ,Almereyda                          ,2000 ,Revising Shakespeare                                                                                                                    ,2002-03-07 ,No notes
  151 ,Hamlet                                                                              ,Almereyeda                         ,2000 ,Weekend - Autumn 2000 (The Doc Suicides)                                                                                                ,2000-11-03 ,No notes
  152 ,Matador                                                                             ,Almodovar                          ,1987 ,Weekend - Spring 1989 (Dirty Rotten Weekends)                                                                                           ,1989-04-29 ,No notes
