      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
10704 ,Our Daily Bread                                                                     ,"Vidor, K."                        ,1934 ,Property Rights and Wrongs                                                                                                              ,1998-10-18 ,No notes
10705 ,"Big Parade, The"                                                                   ,"Vidor, K."                        ,1925 ,"Last War, The"                                                                                                                         ,2000-01-16 ,No notes
10706 ,"Fountainhead, The"                                                                 ,"Vidor, K."                        ,1949 ,Architecture in Cinema                                                                                                                  ,2002-05-02 ,No notes
10707 ,Stella Dallas                                                                       ,"Vidor, K."                        ,1937 ,Classic Melodrama: From Griffith to Sirk                                                                                                ,2004-10-17 ,No notes
10708 ,"Fountainhead, The"                                                                 ,"Vidor, K."                        ,1949 ,Summer 2006                                                                                                                             ,2006-08-26 ,No notes
10709 ,"Patsy, The"                                                                        ,"Vidor, K."                        ,1928 ,"Women of Early Hollywood: Writers, Directors, Stars"                                                                                   ,2006-11-19 ,No notes
10710 ,So Red the Rose                                                                     ,"Vidor, K."                        ,1935 ,"Margaret Sullavan, Star Alone"                                                                                                         ,2007-10-16 ,No notes
10711 ,Zero de conduite                                                                    ,Vigo                               ,1933 ,Documentaries - Spring 1949                                                                                                             ,1949-05-24 ,No notes
10712 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Fall 1949                                                                                                                               ,1949-11-01 ,No notes
10713 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Winter 1952                                                                                                                             ,1952-02-23 ,No notes
10714 ,Zero de Conduite                                                                    ,Vigo                               ,1933 ,Film Study Group of the Documentary Film Group for the Intensive Study of the Motion Picture                                            ,1955-04-08 ,Films of Childhood
10715 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Le Filme Francais                                                                                                                       ,1956-04-13 ,No notes
10716 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Films for the Disgruntled Connossieur                                                                                                   ,1962-05-11 ,No notes
10717 ,Zero de conduite                                                                    ,Vigo                               ,1933 ,Masterpieces of the French Cinema                                                                                                       ,1965-01-29 ,No notes
10718 ,A propos de Nice                                                                    ,Vigo                               ,1930 ,The Cinema: A Three-Quarter Survey for Docfilm's 25th Year -- International Cinema II                                                   ,1966-01-14 ,No notes
10719 ,Zero de conduite                                                                    ,Vigo                               ,1933 ,French Films of the 30's                                                                                                                ,1968-01-26 ,No notes
10720 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,French Films of the 30's                                                                                                                ,1968-02-16 ,No notes
10721 ,A propos de Nice                                                                    ,Vigo                               ,1930 ,Experimental Films                                                                                                                      ,1969-04-09 ,No notes
10722 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,9 Masterpieces & 1 Mahern                                                                                                               ,1973-04-18 ,No notes
10723 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Weekend - Autumn 1977                                                                                                                   ,1977-11-10 ,No notes
10724 ,Zero de conduite                                                                    ,Vigo                               ,1933 ,"Enfants de Méliès, Les"                                                                                                                ,1996-01-23 ,No notes
10725 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Summer 1998                                                                                                                             ,1998-08-13 ,No notes
10726 ,A propos de Nice                                                                    ,Vigo                               ,1930 ,Surrealist Visions                                                                                                                      ,2000-01-10 ,Double Awakening
10727 ,Zero de conduite                                                                    ,Vigo                               ,1933 ,Our Troubled Youth                                                                                                                      ,2001-01-11 ,No notes
10728 ,"Atalante, L'"                                                                      ,Vigo                               ,1934 ,Springtime in Paris                                                                                                                     ,2002-04-08 ,No notes
10729 ,Vivre                                                                               ,Vilardebo                          ,   0 ,War!                                                                                                                                    ,1966-11-09 ,No notes
10730 ,Maelstrom                                                                           ,Villeneuve                         ,2000 ,Weekend - Autumn 2002 (My Big Fat Greek Doc)                                                                                            ,2002-11-29 ,No notes
10731 ,"Celebration, The"                                                                  ,Vintenberg                         ,1998 ,Summer 2000                                                                                                                             ,2000-07-08 ,No notes
10732 ,"Celebration, The"                                                                  ,Vintenberg                         ,1998 ,Food on the Menu                                                                                                                        ,2003-10-09 ,No notes
10733 ,Closed Mondays                                                                      ,"Vinton, Gardiner"                 ,1974 ,Foreign Correspondence                                                                                                                  ,1980-04-06 ,No notes
10734 ,Rude                                                                                ,Virgo                              ,1995 ,Contemporary Canadian                                                                                                                   ,2001-02-12 ,No notes
10735 ,Senso                                                                               ,Visconti                           ,1954 ,Recent Italian Cinema                                                                                                                   ,1968-05-03 ,No notes
10736 ,Rocco and His Brothers                                                              ,Visconti                           ,1960 ,Rare Classics by Great Directors                                                                                                        ,1970-01-13 ,No notes
10737 ,"Damned, The"                                                                       ,Visconti                           ,1969 ,Something for Everyone                                                                                                                  ,1972-02-04 ,No notes
10738 ,Death in Venice                                                                     ,Visconti                           ,1971 ,Weekend - Spring 1973                                                                                                                   ,1973-04-06 ,No notes
10739 ,Ossessione                                                                          ,Visconti                           ,1942 ,Weekend - Winter 1979                                                                                                                   ,1979-02-01 ,No notes
10740 ,"Innocent, The"                                                                     ,Visconti                           ,1976 ,Weekend - Autumn 1979 (Hollywood Highs)                                                                                                 ,1979-10-06 ,No notes
10741 ,Death in Venice                                                                     ,Visconti                           ,1971 ,Foreign Correspondence                                                                                                                  ,1980-05-08 ,No notes
10742 ,"Terra Trema, La"                                                                   ,Visconti                           ,1947 ,Lesser-Known/Foreign                                                                                                                    ,1981-01-25 ,No notes
10743 ,"Damned, The"                                                                       ,Visconti                           ,1969 ,Open Foreign - Autumn 1981                                                                                                              ,1981-10-11 ,No notes
10744 ,Bellissima                                                                          ,Visconti                           ,1952 ,Exploring Foreign Films: 1001 Non-American Nights                                                                                       ,1983-01-30 ,No notes
10745 ,"Terra Trema, La"                                                                   ,Visconti                           ,1948 ,Open Italian                                                                                                                            ,1987-01-14 ,No notes
10746 ,"Terra Trema, La"                                                                   ,Visconti                           ,1948 ,Open Foreign - Spring 1992                                                                                                              ,1992-05-20 ,No notes
10747 ,"Leopard, The"                                                                      ,Visconti                           ,1963 ,Summer 1997                                                                                                                             ,1997-07-02 ,Restored 35mm Cinemascope!
10748 ,Ossessione                                                                          ,Visconti                           ,1943 ,Voyage to Italy: Postwar Italian Films                                                                                                  ,2003-04-13 ,No notes
10749 ,"Terra Trema, La"                                                                   ,Visconti                           ,1947 ,Voyage to Italy: Postwar Italian Films                                                                                                  ,2003-05-04 ,No notes
10750 ,"Leopard, The"                                                                      ,Visconti                           ,1963 ,Crumbling Old Aristocracies                                                                                                             ,2005-10-26 ,No notes
10751 ,Zentropa                                                                            ,von Trier                          ,1991 ,Weekend - Fall 1992 (Honeymoon in Hyde Park)                                                                                            ,1992-11-14 ,No notes
10752 ,Element of Crime                                                                    ,von Trier                          ,1984 ,Open Foreign - Autumn 1994                                                                                                              ,1994-11-13 ,No notes
10753 ,Breaking the Waves                                                                  ,von Trier                          ,1996 ,Weekend - Spring 1997 (DOC Attacks!)                                                                                                    ,1997-06-06 ,No notes
10754 ,"Kingdom, The"                                                                      ,von Trier                          ,1994 ,Scandanavian Supernatural                                                                                                               ,1997-11-30 ,No notes
10755 ,Zentropa                                                                            ,von Trier                          ,1991 ,Fever Dreams                                                                                                                            ,1998-03-12 ,No notes
10756 ,Dancer in the Dark                                                                  ,von Trier                          ,2000 ,Weekend - Winter 2001 (Requiem for Doc)                                                                                                 ,2001-02-03 ,No notes
10757 ,Dancer in the Dark                                                                  ,von Trier                          ,2000 ,Weekend - Spring 2001 (O Doc Where Art Thou?)                                                                                           ,2001-04-07 ,No notes
10758 ,Breaking the Waves                                                                  ,von Trier                          ,1996 ,Seeing the Light                                                                                                                        ,2001-04-18 ,No notes
10759 ,Dogville                                                                            ,von Trier                          ,2003 ,Weekend - Autumn 2004 (Harold and Kumar Go to Doc)                                                                                      ,2004-11-13 ,No notes
10760 ,Marianne and Julienne                                                               ,von Trotta                         ,1981 ,Women Directors: A Survey of Classic and Contemporary Films                                                                             ,1983-05-22 ,No notes
10761 ,Sisters or the Balance of Happiness                                                 ,Von Trotta                         ,1981 ,Women Direct                                                                                                                            ,1991-02-18 ,No notes
10762 ,Rosa Luxemburg                                                                      ,von Trotta                         ,1985 ,Feminism in Film                                                                                                                        ,1994-03-28 ,No notes
10763 ,Bound                                                                               ,"Wachowski, Wachowski"             ,1996 ,Weekend - Winter 1997 (The Ghost and DOCness)                                                                                           ,1997-03-08 ,No notes
10764 ,"Matrix, The"                                                                       ,"Wachowski, Wachowski"             ,1999 ,Weekend - Autumn 1999 (Run Doc Run)                                                                                                     ,1999-10-01 ,No notes
10765 ,Matrix: Reloaded                                                                    ,"Wachowski, Wachowski"             ,2003 ,Weekend - Autumn 2003 (Doc: Reloaded)                                                                                                   ,2003-11-07 ,No notes
10766 ,Matrix Revolutions                                                                  ,"Wachowski, Wachowski"             ,2003 ,Weekend - Spring 2004 (The Passion of the Doc)                                                                                          ,2004-04-24 ,No notes
10767 ,Kanal                                                                               ,Wadja                              ,1957 ,Weekend - Winter 1979                                                                                                                   ,1979-03-01 ,No notes
10768 ,Woodstock                                                                           ,Wadleigh                           ,1970 ,How the Other Half Lives                                                                                                                ,1972-04-21 ,No notes
10769 ,Woodstock                                                                           ,Wadleigh                           ,1970 ,How the Other Half Lives                                                                                                                ,1972-04-22 ,No notes
10770 ,Red Nightmare                                                                       ,Waggner                            ,1962 ,Documentaries                                                                                                                           ,1986-10-27 ,No notes
10771 ,Waller's Last Trip                                                                  ,Wagner                             ,1989 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-16 ,No notes
10772 ,Miles of Smiles: Years of Struggle                                                  ,"Wagner, P."                       ,1983 ,"Black Looks: Constructions, Diversity, Transformations"                                                                                ,1993-01-04 ,Black Labor History
10773 ,Windhorse                                                                           ,"Wagner, P."                       ,1998 ,Exile                                                                                                                                   ,2000-04-11 ,No notes
10774 ,Wet Hot American Summer                                                             ,Wain                               ,2001 ,Weekend - Spring 2002 (Wet Hot American Doc)                                                                                            ,2002-05-11 ,No notes
10775 ,Man of Marble                                                                       ,Wajda                              ,1977 ,Exploring Foreign Films: 1001 Non-American Nights                                                                                       ,1983-01-16 ,No notes
10776 ,Man of Iron                                                                         ,Wajda                              ,1981 ,Weekend - Winter 1983 (Raiders of the Lost Weekend)                                                                                     ,1983-02-12 ,No notes
10777 ,Ashes and Diamonds                                                                  ,Wajda                              ,1958 ,Best from Budapest … and other spots                                                                                                    ,1984-05-09 ,No notes
10778 ,Landscape After Battle                                                              ,Wajda                              ,1970 ,Representing the Holocaust                                                                                                              ,1995-02-19 ,No notes
10779 ,Ashes and Diamonds                                                                  ,Wajda                              ,1958 ,Summer 1997                                                                                                                             ,1997-07-03 ,No notes
10780 ,Revisitation                                                                        ,Walker                             ,   0 ,1962 Midwest Film Festival                                                                                                              ,1962-04-28 ,Program 3
10781 ,Night to Remember                                                                   ,"Wallace, R."                      ,1942 ,Beyond the Pantheon                                                                                                                     ,1984-05-01 ,No notes
10782 ,Hi-De-Ho                                                                            ,Waller                             ,1934 ,Black Musicals                                                                                                                          ,1998-02-10 ,No notes
10783 ,Symphony in Black                                                                   ,Waller                             ,1935 ,Black Musicals                                                                                                                          ,1998-02-17 ,No notes
10784 ,Thief of Bagdad                                                                     ,Walsh                              ,1924 ,Film Class                                                                                                                              ,1947-02-07 ,Post-War I Films in America
10785 ,What Price Glory?                                                                   ,Walsh                              ,1926 ,Film Class                                                                                                                              ,1947-02-21 ,"Climax of the Silent Era, 1926"
10786 ,High Sierra                                                                         ,Walsh                              ,1941 ,Son of Bogey Flicks                                                                                                                     ,1965-04-13 ,No notes
10787 ,White Heat                                                                          ,Walsh                              ,1949 ,Underground/Underground                                                                                                                 ,1967-04-05 ,"Explanation: An ""underground"" B movie + an ""underground"" experimental or two"
10788 ,High Sierra                                                                         ,Walsh                              ,1941 ,Bogey Times Three                                                                                                                       ,1967-04-22 ,No notes
10789 ,Roaring Twenties                                                                    ,Walsh                              ,1939 ,Bogey Times Three                                                                                                                       ,1967-04-22 ,No notes
10790 ,Pursued                                                                             ,Walsh                              ,1947 ,"Western, The"                                                                                                                          ,1967-10-18 ,No notes
10791 ,They Drive by Night                                                                 ,Walsh                              ,1940 ,Bogie Triple Feature                                                                                                                    ,1968-01-05 ,No notes
10792 ,"Tall Men, The"                                                                     ,Walsh                              ,1955 ,Rediscovering the American Movie                                                                                                        ,1971-05-19 ,No notes
10793 ,High Sierra                                                                         ,Walsh                              ,1941 ,Directors We've Overlooked                                                                                                              ,1974-01-15 ,No notes
10794 ,White Heat                                                                          ,Walsh                              ,1949 ,Auteurs on Parade                                                                                                                       ,1974-04-10 ,No notes
10795 ,They Drive by Night                                                                 ,Walsh                              ,1940 ,Films of Raoul Walsh                                                                                                                    ,1976-04-06 ,No notes
10796 ,Klondike Annie                                                                      ,Walsh                              ,1936 ,Films of Raoul Walsh                                                                                                                    ,1976-04-13 ,No notes
10797 ,Strawberry Blonde                                                                   ,Walsh                              ,1941 ,Films of Raoul Walsh                                                                                                                    ,1976-04-13 ,No notes
10798 ,Cheyenne                                                                            ,Walsh                              ,1947 ,Films of Raoul Walsh                                                                                                                    ,1976-04-20 ,No notes
10799 ,"Tall Men, The"                                                                     ,Walsh                              ,1955 ,Films of Raoul Walsh                                                                                                                    ,1976-04-20 ,No notes
10800 ,Northern Pursuit                                                                    ,Walsh                              ,1943 ,Films of Raoul Walsh                                                                                                                    ,1976-04-27 ,No notes
10801 ,"Objective, Burma!"                                                                 ,Walsh                              ,1945 ,Films of Raoul Walsh                                                                                                                    ,1976-04-27 ,No notes
10802 ,Lawless Breed                                                                       ,Walsh                              ,1952 ,Films of the '50s                                                                                                                       ,1977-10-19 ,No notes
10803 ,Spendthrift                                                                         ,Walsh                              ,1936 ,24 Laughs Per Second                                                                                                                    ,1978-02-15 ,No notes
10804 ,Pursued                                                                             ,Walsh                              ,1947 ,Weekend - Spring 1978                                                                                                                   ,1978-04-04 ,No notes
10805 ,Lucky Lady                                                                          ,Walsh                              ,1926 ,"All This and Heaven, Too?"                                                                                                             ,1979-01-31 ,No notes
10806 ,Glory Alley                                                                         ,Walsh                              ,1952 ,Murder is My Business                                                                                                                   ,1979-05-09 ,No notes
10807 ,White Heat                                                                          ,Walsh                              ,1949 ,Weekend - Autumn 1980 (Weekend Now!)                                                                                                    ,1980-10-24 ,No notes
10808 ,They Drive by Night                                                                 ,Walsh                              ,1940 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-01-14 ,No notes
10809 ,Gentleman Jim                                                                       ,Walsh                              ,1942 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-01-25 ,No notes
10810 ,Strawberry Blonde                                                                   ,Walsh                              ,1941 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-01-25 ,No notes
10811 ,"Objective, Burma!"                                                                 ,Walsh                              ,1945 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-15 ,No notes
10812 ,They Died with Their Boots On                                                       ,Walsh                              ,1941 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-15 ,No notes
10813 ,High Sierra                                                                         ,Walsh                              ,1941 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-26 ,No notes
10814 ,Pursued                                                                             ,Walsh                              ,1947 ,"Best of Doc Films: Auteurism in Practice -- American, Part I"                                                                          ,1982-10-27 ,No notes
10815 ,Horn Blows at Midnight                                                              ,Walsh                              ,1945 ,Great Comedians                                                                                                                         ,1985-01-31 ,No notes
10816 ,They Died with Their Boots On                                                       ,Walsh                              ,1942 ,Flynn/Barrymore                                                                                                                         ,1985-04-02 ,No notes
10817 ,Gentleman Jim                                                                       ,Walsh                              ,1942 ,Flynn/Barrymore                                                                                                                         ,1985-04-23 ,No notes
10818 ,Silver River                                                                        ,Walsh                              ,1948 ,Flynn/Barrymore                                                                                                                         ,1985-05-28 ,No notes
10819 ,Thief of Bagdad                                                                     ,Walsh                              ,1924 ,Films of Raoul Walsh                                                                                                                    ,1985-10-01 ,No notes
10820 ,High Sierra                                                                         ,Walsh                              ,1941 ,Films of Raoul Walsh                                                                                                                    ,1985-10-08 ,No notes
10821 ,They Drive by Night                                                                 ,Walsh                              ,1940 ,Films of Raoul Walsh                                                                                                                    ,1985-10-15 ,No notes
10822 ,Colorado Territory                                                                  ,Walsh                              ,1949 ,Films of Raoul Walsh                                                                                                                    ,1985-10-22 ,No notes
10823 ,White Heat                                                                          ,Walsh                              ,1949 ,Films of Raoul Walsh                                                                                                                    ,1985-10-29 ,No notes
10824 ,"Tall Men, The"                                                                     ,Walsh                              ,1955 ,Films of Raoul Walsh                                                                                                                    ,1985-11-05 ,No notes
10825 ,Strawberry Blonde                                                                   ,Walsh                              ,1941 ,Films of Raoul Walsh                                                                                                                    ,1985-11-12 ,No notes
10826 ,Manpower                                                                            ,Walsh                              ,1941 ,Films of Raoul Walsh                                                                                                                    ,1985-11-19 ,No notes
10827 ,"Objective, Burma!"                                                                 ,Walsh                              ,1945 ,Films of Raoul Walsh                                                                                                                    ,1985-11-26 ,No notes
10828 ,"Man I Love, The"                                                                   ,Walsh                              ,1947 ,Films of Raoul Walsh                                                                                                                    ,1985-12-03 ,No notes
10829 ,Pursued                                                                             ,Walsh                              ,1947 ,Psycho Drama                                                                                                                            ,1988-04-12 ,No notes
10830 ,Manpower                                                                            ,Walsh                              ,1941 ,Summer 1988                                                                                                                             ,1988-08-04 ,No notes
10831 ,Me and My Gal                                                                       ,Walsh                              ,1932 ,Pre-Code Cinema                                                                                                                         ,1988-10-25 ,No notes
10832 ,Desperate Journey                                                                   ,Walsh                              ,1942 ,World War II                                                                                                                            ,1989-01-10 ,No notes
10833 ,Strawberry Blonde                                                                   ,Walsh                              ,1941 ,Sight & Sound                                                                                                                           ,1990-04-24 ,No notes
10834 ,What Price Glory?                                                                   ,Walsh                              ,1926 ,Sight & Sound                                                                                                                           ,1990-04-24 ,No notes
10835 ,Pursued                                                                             ,Walsh                              ,1947 ,Revisionist Westerns                                                                                                                    ,1991-01-30 ,No notes
10836 ,Colorado Territory                                                                  ,Walsh                              ,1949 ,Lawless                                                                                                                                 ,1996-10-24 ,No notes
10837 ,Thief of Bagdad                                                                     ,Walsh                              ,1924 ,Summer 1997                                                                                                                             ,1997-07-30 ,No notes
10838 ,"Objective, Burma!"                                                                 ,Walsh                              ,1944 ,Cinematographers: Gregg Toland/James Wong Howe                                                                                          ,2000-05-18 ,No notes
10839 ,Thief of Bagdad                                                                     ,Walsh                              ,1940 ,Summer 2004                                                                                                                             ,2004-06-30 ,No notes
10840 ,Me and My Gal                                                                       ,Walsh                              ,1932 ,"Sex, Sin, and Bathtub Booze: Hollywood Before the Code"                                                                                ,2006-05-18 ,No notes
10841 ,"Objective, Burma!"                                                                 ,Walsh                              ,1945 ,"Hollywood 10, The"                                                                                                                     ,2007-04-09 ,No notes
10842 ,Tender Trap                                                                         ,Walters                            ,1955 ,Beyond the Pantheon                                                                                                                     ,1984-05-29 ,No notes
10843 ,Joy Luck Club                                                                       ,Wang                               ,1993 ,Weekend - Spring 1994 (Superdoc: Doc Story III)                                                                                         ,1994-04-09 ,No notes
10844 ,"Center of the World, The"                                                          ,Wang                               ,2001 ,Cinematic Sexualities in the 21st Century                                                                                               ,2007-03-08 ,No notes
10845 ,Blue in the Face                                                                    ,"Wang, Auster"                     ,1995 ,Summer 1997                                                                                                                             ,1997-07-26 ,No notes
10846 ,First Date                                                                          ,"Wang, P."                         ,1989 ,25th Annual Chicago International Film Festival                                                                                         ,1989-10-28 ,No notes
10847 ,Smoke                                                                               ,"Wang, W."                         ,1995 ,Weekend - Autumn 1995 (Doc Hard with a Vengeance)                                                                                       ,1995-10-27 ,No notes
10848 ,Map of the Human Heart                                                              ,Ward                               ,1993 ,Weekend - Autumn 1993 (Man Bites Doc)                                                                                                   ,1993-10-15 ,No notes
10849 ,What Dreams May Come                                                                ,Ward                               ,1998 ,Weekend - Winter 1999 (A Doc's Life)                                                                                                    ,1999-01-29 ,No notes
10850 ,I'm King of the Castle                                                              ,Wargnier                           ,1989 ,25th Annual Chicago International Film Festival                                                                                         ,1989-11-02 ,No notes
10851 ,Blow Job                                                                            ,Warhol                             ,1963 ,DFG Accidental Film Festival                                                                                                            ,1966-05-05 ,No notes
10852 ,Nude Restaurant                                                                     ,Warhol                             ,1967 ,Wild Screen                                                                                                                             ,1968-05-08 ,Chicago Premiere
10853 ,Bike Boy                                                                            ,Warhol                             ,1967 ,Chicago Premiere                                                                                                                        ,1968-10-04 ,Chicago Premiere
10854 ,****                                                                                ,Warhol                             ,1967 ,Experimental Films                                                                                                                      ,1969-04-16 ,Chicago Premiere
10855 ,Fuck                                                                                ,Warhol                             ,1969 ,Underground                                                                                                                             ,1970-04-08 ,Chicago Premiere
10856 ,Lonesome Cowboys                                                                    ,Warhol                             ,1969 ,Famous Friday Night Series                                                                                                              ,1971-10-22 ,No notes
10857 ,Nude Restaurant                                                                     ,Warhol                             ,1967 ,Summer 2006                                                                                                                             ,2006-06-24 ,No notes
